FACNAME,COURSECODE,NAMEENGLISHABBR,SECTION,TOTALCREDIT,STARTTIME,ENDTIME,TEACHTYPE,BUILDINGNAMEABBR,ROOMNO,INSTRUCTORS,STUDYPROGRAMSYSTEM,TOTALREG
"คณะทันตแพทยศาสตร์","3207552","PROSTH CLIN I",8,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207552","PROSTH CLIN I",9,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207552","PROSTH CLIN I",10,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207552","PROSTH CLIN I",11,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207552","PROSTH CLIN I",12,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207552","PROSTH CLIN I",13,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207552","PROSTH CLIN I",14,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207552","PROSTH CLIN I",15,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207552","PROSTH CLIN I",16,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207552","PROSTH CLIN I",17,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207552","PROSTH CLIN I",18,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207552","PROSTH CLIN I",19,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207552","PROSTH CLIN I",20,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207552","PROSTH CLIN I",21,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207552","PROSTH CLIN I",22,4,"IA","IA","CLIN","DENT5","201","STAFF","S",5
"คณะทันตแพทยศาสตร์","3207552","PROSTH CLIN I",23,4,"IA","IA","CLIN","DENT5","201","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207552","PROSTH CLIN I",24,4,"IA","IA","CLIN","DENT5","201","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207552","PROSTH CLIN I",25,4,"IA","IA","CLIN","DENT5","201","STAFF","S",10
"คณะทันตแพทยศาสตร์","3207642","DENT MAT SEM",1,1,"IA","IA","SMNA","DEN16","509","STAFF","S",15
"คณะทันตแพทยศาสตร์","3207643","INDIV STUD MAT",1,1,"IA","IA","DISC","DEN16","509","STAFF","S",15
