FACNAME,COURSECODE,NAMEENGLISHABBR,SECTION,TOTALCREDIT,STARTTIME,ENDTIME,TEACHTYPE,BUILDINGNAMEABBR,ROOMNO,INSTRUCTORS,STUDYPROGRAMSYSTEM,TOTALREG
"คณะอักษรศาสตร์","2224108","INDONESIAN I",1,3,"1500","1600","DISC","MCS","50129","SSY","S",50
"คณะอักษรศาสตร์","2224108","INDONESIAN I",1,3,"1500","1600","DISC","MCS","50129","SSY","S",40
"คณะอักษรศาสตร์","2224108","INDONESIAN I",1,3,"1500","1600","DISC","MHMK","10044","STAFF","I",50
"คณะอักษรศาสตร์","2224108","INDONESIAN I",1,3,"1500","1600","DISC","MHMK","10044","STAFF","I",40
"คณะอักษรศาสตร์","2224108","INDONESIAN I",2,3,"0930","1130","LECT","MCS","50129","SSY","S",50
"คณะอักษรศาสตร์","2224108","INDONESIAN I",2,3,"1130","1230","DISC","MCS","50129","SSY","S",50
"คณะอักษรศาสตร์","2224109","INDONESIAN II",1,3,"1300","1500","LECT","BRK","311","MSN","S",40
"คณะอักษรศาสตร์","2224109","INDONESIAN II",1,3,"1500","1600","DISC","BRK","311","MSN","S",40
"คณะอักษรศาสตร์","2224205","MALAY CONVER II",1,3,"1300","1400","LECT","BRK","314","NHK","S",20
"คณะอักษรศาสตร์","2224205","MALAY CONVER II",1,3,"1400","1600","DISC","BRK","314","NHK","S",20
"คณะอักษรศาสตร์","2225101","KOREAN I",1,3,"1300","1500","LECT","BRK","310","IPT","S",40
"คณะอักษรศาสตร์","2225101","KOREAN I",1,3,"1300","1500","LECT","BRK","310","IPT","S",30
"คณะอักษรศาสตร์","2225101","KOREAN I",1,3,"1500","1600","DISC","BRK","310","HJY","S",40
"คณะอักษรศาสตร์","2225101","KOREAN I",1,3,"1500","1600","DISC","BRK","310","HJY","S",30
"คณะอักษรศาสตร์","2225101","KOREAN I",1,3,"1600","1800","LECT","MCS","50121","HJY","I",40
"คณะอักษรศาสตร์","2225101","KOREAN I",1,3,"1600","1800","LECT","MCS","50121","HJY","I",30
"คณะอักษรศาสตร์","2225101","KOREAN I",1,3,"1800","1900","DISC","MCS","50121","HJY","I",40
"คณะอักษรศาสตร์","2225101","KOREAN I",1,3,"1800","1900","DISC","MCS","50121","HJY","I",30
"คณะอักษรศาสตร์","2225101","KOREAN I",2,3,"1600","1800","LECT","MCS","50129","IPT","S",40
"คณะอักษรศาสตร์","2225101","KOREAN I",2,3,"1800","1900","DISC","MCS","50129","HJY","S",40
"คณะอักษรศาสตร์","2225101","KOREAN I",3,3,"1200","1300","DISC","MCS","50113","HJY","S",40
"คณะอักษรศาสตร์","2225101","KOREAN I",3,3,"1300","1500","LECT","MCS","50113","IPT","S",40
"คณะอักษรศาสตร์","2225102","KOREAN II",1,3,"1300","1500","LECT","BRK","407","CKN","S",21
