COURSE_NO,COURSE_CODE,COURSE_NAME,COURSE_SECTION,COURSE_TYPE,COURSE_DAY,COURSE_STARTTIME,COURSE_ENDTIME,ROOM_BUILDING,ROOM_CODE,ENROLL,CAPACITY
1,2100111,EXPL ENG WORLD,1,LECT,FR,09:30,12:30,ENG3,117,425,820
2,2100303,CREAT DES COMM,1,LECT,TU,18:00,19:30,EN100,402,35,60
3,2100303,CREAT DES COMM,1,DISC,TH,18:00,19:30,EN100,402,35,35
4,2100604,STRAT TE CTRL RLS,1,LECT,TU,13:00,16:00,ENG1,203/1,20,20
5,2100605,BIOMED EMBED SYS,1,LECT,TH,13:00,16:00,ENG1,203/1,20,25
6,2100791,BME SEM I,1,SMNA,WE,13:00,16:00,ENG1,203/1,5,5
7,2100792,BME SEM II,1,LECT,WE,13:00,16:00,ENG1,203/1,10,10
8,2100794,BME SEM IV,1,LECT,WE,13:00,16:00,ENG1,203/1,3,10
9,2101202,MECH MAT I,1,LECT,MO,11:00,12:30,ENG3,408,40,40
10,2101202,MECH MAT I,2,LECT,MO,11:00,12:30,CE,212,40,75
11,2101202,MECH MAT I,3,LECT,MO,11:00,12:30,ENG3,304,40,60
12,2101252,STAT CE,1,LECT,FR,09:00,12:00,ENG3,401,56,65
13,2101252,STAT CE,2,LECT,FR,09:00,12:00,ENG3,420,56,85
14,2101253,APP MATH CE,1,LECT,TU,08:00,09:30,ENG3,315,140,245
15,2101255,INTRO EE ME ENV,1,LECT,FR,13:00,15:00,ENG1,113,125,235
16,2101307,RC DESIGN,1,LECT,TU,08:00,09:30,CE,209,22,30
17,2101307,RC DESIGN,3,LECT,TU,08:00,09:30,CE,209,22,20
18,2101307,RC DESIGN,5,LECT,TU,08:00,09:30,CE,209,20,30
19,2101308,MECH MAT II,1,LECT,MO,08:00,09:30,ENG3,417,30,50
20,2101310,STRUCT ANAL I,1,LECT,TU,11:00,12:30,ENG3,305,50,60
21,2101312,STRUCT ANAL II,1,LECT,TU,11:00,12:30,ENG3,322,70,95
22,2101312,STRUCT ANAL II,2,LECT,TU,11:00,12:30,ENG3,324,70,105
23,2101321,SOIL MECHS,1,LECT,MO,09:30,11:00,ENG3,301,56,110
24,2101321,SOIL MECHS,2,LECT,MO,09:30,11:00,ENG3,309,56,110
25,2101335,CONS SUPVN,1,LECT,FR,14:00,16:00,CE,209,110,175
26,2101336,RC DESIGN,1,L/P,TU,09:30,11:00,ENG3,315,110,115
27,2101338,HIGHWAY ENG,1,LECT,FR,08:00,10:00,CE,209,58,105
28,2101338,HIGHWAY ENG,1,LAB,FR,10:00,13:00,CE,209,58,100
29,2101338,HIGHWAY ENG,2,LECT,FR,08:00,10:00,CE,212,55,80
