FACNAME,COURSECODE,NAMEENGLISHABBR,EXAMDATE,EXAMSTARTTIME,EXAMENDTIME,EXAMTYPE,BUILDINGNAMEABBR,ROOMNO,NUMEXAMSEAT,STUDYPROGRAMSYSTEM
"คณะวิศวกรรมศาสตร์","2104253","ENG STAT I",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","304",45,"S"
"คณะวิศวกรรมศาสตร์","2104253","ENG STAT I",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","305",45,"S"
"คณะวิศวกรรมศาสตร์","2104351","WORK DESIGN",3/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","315",63,"S"
"คณะวิศวกรรมศาสตร์","2104351","WORK DESIGN",3/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","317",35,"S"
"คณะวิศวกรรมศาสตร์","2104353","ENG ECON",8/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG1","303",53,"S"
"คณะวิศวกรรมศาสตร์","2104353","ENG ECON",8/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG1","304",45,"S"
"คณะวิศวกรรมศาสตร์","2104355","COMP/IT IE",1/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","301",53,"S"
"คณะวิศวกรรมศาสตร์","2104355","COMP/IT IE",1/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","304",45,"S"
"คณะวิศวกรรมศาสตร์","2104356","QUALITY CONTROL",2/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","415",63,"S"
"คณะวิศวกรรมศาสตร์","2104356","QUALITY CONTROL",2/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","417",35,"S"
"คณะวิศวกรรมศาสตร์","2104357","ENG EXP DES",30/11/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","EN100","501",70,"S"
"คณะวิศวกรรมศาสตร์","2104357","ENG EXP DES",30/11/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","EN100","502",29,"S"
"คณะวิศวกรรมศาสตร์","2105220","CHE CHEM",1/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","315",83,"S"
"คณะวิศวกรรมศาสตร์","2105221","CHE CHEM LAB",8/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","305",42,"S"
