FACNAME,COURSECODE,NAMEENGLISHABBR,EXAMDATE,EXAMSTARTTIME,EXAMENDTIME,EXAMTYPE,BUILDINGNAMEABBR,ROOMNO,NUMEXAMSEAT,STUDYPROGRAMSYSTEM
"คณะวิศวกรรมศาสตร์","2145411","AIRCRAFT DESIGN I",30/11/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG2","303/1",23,"I"
"คณะวิศวกรรมศาสตร์","2145422","GAS DYNAMICS",8/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","EN100","504",3,"I"
"คณะวิศวกรรมศาสตร์","2145453","MAT AERO ENG",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG2","304/1",3,"I"
"คณะวิศวกรรมศาสตร์","2145460","AIRCRAFT REPR PHIL",9/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG2","304/1",10,"I"
"คณะวิศวกรรมศาสตร์","2145497","SEL TOP AERO I",9/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG2","303/2",2,"I"
"คณะวิศวกรรมศาสตร์","2145498","SEL TOP AERO II",1/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","309",17,"I"
"คณะวิศวกรรมศาสตร์","2182201","MATH NANO",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG2","210",45,"I"
"คณะวิศวกรรมศาสตร์","2182202","ADV MATH METH",30/11/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG2","210",45,"I"
"คณะวิศวกรรมศาสตร์","2182202","ADV MATH METH",30/11/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG2","303/1",5,"I"
"คณะวิศวกรรมศาสตร์","2182210","ELEC CIRC",2/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","403",23,"I"
